source_node_id,target_node_id,road_length,road_type,name,one-way,max_speed,access,lanes
28997162,316156831,165.216068258569,primary,National Highway,False,30.49,Uncategorized,4
28997162,1256324607,84.93320473253786,primary,National Highway,False,30.49,Uncategorized,4
28997162,1256324954,426.6998053678796,service,La Roca Road,False,25.85,Uncategorized,
28997167,12718893560,5.840259991908985,service,Unnamed,False,25.85,Uncategorized,
28997167,1342892784,32.93814290479234,primary,National Highway,False,30.49,Uncategorized,4
28997167,28997724,115.87743723055709,primary,National Highway,False,30.49,Uncategorized,4
28997168,8893838532,10.914751578562901,primary,National Highway,False,30.49,Uncategorized,4
28997168,8893838539,19.98786158440637,primary,National Highway,False,30.49,Uncategorized,4
28997168,8893838526,85.54449900044742,residential,Unnamed,False,31.86,Uncategorized,
28997169,12154520965,28.449693239749443,primary,National Highway,False,30.49,Uncategorized,4
28997169,8893825526,4.409515406183417,primary,National Highway,False,30.49,Uncategorized,4
28997169,1411750799,25.85627581657929,service,Unnamed,False,25.85,Uncategorized,
28997173,3101376765,35.23468745858642,primary,National Highway,False,30.49,Uncategorized,4
28997173,2785700018,300.91564552723605,residential,Unnamed,False,31.86,Uncategorized,
28997173,1256325131,239.36264138015716,primary,National Highway,False,30.49,Uncategorized,4
28997179,453012070,85.56289463952457,secondary,M. Palis Street,False,30.0,Uncategorized,
28997179,1300391201,101.61558160583937,primary,National Highway,False,30.49,Uncategorized,4
28997179,2069394999,82.37098208570092,primary,National Highway,False,30.49,Uncategorized,4
28997182,3081686433,11.942905046889166,primary,National Highway,False,30.49,Uncategorized,4
28997182,417292170,61.418785941091585,primary,National Highway,False,30.49,Uncategorized,4
28997182,12718893595,8.559038561307688,steps,Juan Luna Extension,False,30.49,Uncategorized,
28997193,4556595093,48.54989906747059,primary,National Highway,False,30.49,Uncategorized,4
28997193,4556595091,33.1976418263526,unclassified,Unnamed,True,40.0,destination,2
28997193,1271725682,53.965509516532066,primary,National Highway,False,30.49,Uncategorized,4
28997703,1187299842,69.67153861706946,primary,National Highway,False,30.49,Uncategorized,4
28997703,1143665048,105.2716925821757,primary,National Highway,False,30.49,Uncategorized,4
28997703,443159979,32.01088034992793,footway,Unnamed,False,30.0,Uncategorized,
28997724,417266475,59.21642810912459,secondary,Jose Rizal Street,False,30.0,Uncategorized,
28997724,28997167,115.87743723055708,primary,National Highway,False,30.49,Uncategorized,4
28997724,3081686433,65.02757105404967,primary,National Highway,False,30.49,Uncategorized,4
253491996,8887041595,22.794485697902132,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253491996,12309655757,5.177372054648188,unclassified,V. Menguito,False,33.07,Uncategorized,
253491996,8887041591,28.104506286551395,tertiary,B. A. Villanueva,False,33.15,Uncategorized,
253491996,1252148707,157.78477079713593,residential,Unnamed,False,31.86,private,
253492328,253501388,49.065337144371256,tertiary,Unnamed,False,33.15,Uncategorized,
253492328,454088232,14.38516787568303,steps,Unnamed,False,30.49,Uncategorized,
253492328,253781337,28.238342849475455,tertiary,Unnamed,False,33.15,Uncategorized,
253492342,454089147,596.1442818214265,unclassified,Unnamed,False,33.07,Uncategorized,
253492342,945039294,24.626221697644105,unclassified,Unnamed,False,33.07,Uncategorized,
253492342,945031147,1109.5275715023643,unclassified,Ibarang Road,False,33.07,Uncategorized,2
253492621,425118437,39.26891453594652,residential,Diamond Street,False,40.0,Uncategorized,2
253492621,7699734024,26.066233148453726,residential,Diamond Street,False,40.0,Uncategorized,2
253492621,7699734020,21.156235117531452,service,Unnamed,False,25.85,Uncategorized,
253492870,382044700,51.03944707440792,unclassified,Bangkal Road,False,40.0,Uncategorized,2
