osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
54360057,primary,4,National Highway,66,False,False,165.216068258569,"LINESTRING (121.2077063 14.1708612, 121.2079436 14.1708885, 121.2081448 14.1708859, 121.2083205 14.1708625, 121.2084961 14.1708248, 121.2087147 14.1707883, 121.208899 14.1708027, 121.2090298 14.170825, 121.2092163 14.170882)",30.491031197138334,,,,,,,
54360057,primary,4,National Highway,66,False,True,84.93320473253786,"LINESTRING (121.2077063 14.1708612, 121.207481 14.1708065, 121.2072704 14.1707584, 121.2069421 14.1706758)",30.491031197138334,,,,,,,
81501066,service,,La Roca Road,,False,False,426.6998053678796,"LINESTRING (121.2077063 14.1708612, 121.2078182 14.1709572, 121.2078823 14.1709878, 121.2080183 14.1710528, 121.2083026 14.1711131, 121.2083973 14.171146, 121.2084541 14.171227, 121.2085282 14.1715477, 121.2085748 14.1718631, 121.2086919 14.1720981, 121.2087304 14.1721752, 121.2087413 14.1721977, 121.209004 14.1727421, 121.2094219 14.17406)",25.846456692913385,,,,,,,
35602460,service,,,,False,True,5.840259991908985,"LINESTRING (121.2261621 14.1812862, 121.2261658 14.1813386)",25.846456692913385,driveway,,,,,,
297157682,primary,4,National Highway,66,False,False,32.93814290479234,"LINESTRING (121.2261621 14.1812862, 121.2264275 14.1812962, 121.2264674 14.1812977)",30.491031197138334,,,,,,,
"[297157682, 90087398]",primary,4,National Highway,66,False,True,115.87743723055709,"LINESTRING (121.2261621 14.1812862, 121.225943 14.1812737, 121.2256116 14.1811857, 121.2253283 14.1810831, 121.2251348 14.1810056)",30.491031197138334,,,,,,,
33514824,primary,4,National Highway,66,False,False,10.914751578562901,"LINESTRING (121.2597325 14.176327, 121.2598326 14.1763123)",30.491031197138334,,,,,,,
33514824,primary,4,National Highway,66,False,True,19.98786158440637,"LINESTRING (121.2597325 14.176327, 121.259548 14.1763447)",30.491031197138334,,,,,,,
111091543,residential,,,,False,True,85.54449900044742,"LINESTRING (121.2597325 14.176327, 121.2599141 14.1755781)",31.861943687556767,,,,,,,
33514824,primary,4,National Highway,66,False,False,28.449693239749443,"LINESTRING (121.2648026 14.1758856, 121.2650663 14.1758953)",30.491031197138334,,,,,,,
33514824,primary,4,National Highway,66,False,True,4.409515406183417,"LINESTRING (121.2648026 14.1758856, 121.2647617 14.1758859)",30.491031197138334,,,,,,,
127588676,service,,,,False,False,25.85627581657929,"LINESTRING (121.2648026 14.1758856, 121.264804 14.1758026, 121.2648065 14.1756531)",25.846456692913385,,,,,,,
328679919,primary,4,National Highway,66,False,True,35.23468745858642,"LINESTRING (121.2176098 14.1742112, 121.2173051 14.1740966)",30.491031197138334,,,,,,,
"[114915784, 114915793]",residential,,,,False,False,300.91564552723605,"LINESTRING (121.2176098 14.1742112, 121.2176098 14.17419, 121.2176033 14.1741221, 121.2175906 14.1740562, 121.2175171 14.1738997, 121.2174057 14.173707, 121.217174 14.1732997, 121.2170444 14.1730715, 121.216919 14.1728631, 121.2162643 14.1721264, 121.2161246 14.1719562)",31.861943687556767,,,,,,,
