y,x,street_count,highway,railway,junction,geometry
14.1708612,121.2077063,3,,,,POINT (121.2077063 14.1708612)
14.1812862,121.2261621,3,,,,POINT (121.2261621 14.1812862)
14.176327,121.2597325,3,,,,POINT (121.2597325 14.176327)
14.1758856,121.2648026,3,,,,POINT (121.2648026 14.1758856)
14.1742112,121.2176098,3,,,,POINT (121.2176098 14.1742112)
14.1776091,121.2226658,3,,,,POINT (121.2226658 14.1776091)
14.1804211,121.2247623,3,,,,POINT (121.2247623 14.1804211)
14.1760228,121.2621851,3,,,,POINT (121.2621851 14.1760228)
14.1767151,121.2542037,3,,,,POINT (121.2542037 14.1767151)
14.1810056,121.2251348,3,,,,POINT (121.2251348 14.1810056)
14.1873863,121.2382407,4,,,,POINT (121.2382407 14.1873863)
14.1609892,121.2257631,3,,,,POINT (121.2257631 14.1609892)
14.1580182,121.2254226,3,,,,POINT (121.2254226 14.1580182)
14.174004,121.2425608,3,,,,POINT (121.2425608 14.174004)
14.1766512,121.2435758,3,,,,POINT (121.2435758 14.1766512)
14.1706074,121.2436896,3,,,,POINT (121.2436896 14.1706074)
14.1759956,121.2428619,3,milestone,,,POINT (121.2428619 14.1759956)
14.1887395,121.2376529,3,,,,POINT (121.2376529 14.1887395)
14.1921433,121.2354329,4,,,,POINT (121.2354329 14.1921433)
14.1792285,121.242018,3,,,,POINT (121.242018 14.1792285)
14.1727654,121.2453891,4,,,,POINT (121.2453891 14.1727654)
14.1895504,121.2514411,3,,,,POINT (121.2514411 14.1895504)
14.1613733,121.2259871,3,,,,POINT (121.2259871 14.1613733)
14.1649468,121.2090528,3,,,,POINT (121.2090528 14.1649468)
14.1904976,121.2344706,3,,,,POINT (121.2344706 14.1904976)
14.1507824,121.2541206,3,,,,POINT (121.2541206 14.1507824)
14.1735743,121.223102,3,,,,POINT (121.223102 14.1735743)
14.1663968,121.2099832,4,,,,POINT (121.2099832 14.1663968)
14.1801345,121.2417486,3,,,,POINT (121.2417486 14.1801345)
14.1903356,121.2437788,3,,,,POINT (121.2437788 14.1903356)
14.1683354,121.2439182,3,,,,POINT (121.2439182 14.1683354)
14.1728494,121.2582998,3,,,,POINT (121.2582998 14.1728494)
14.1632997,121.2599315,3,,,,POINT (121.2599315 14.1632997)
14.1708682,121.2435517,3,,,,POINT (121.2435517 14.1708682)
14.1605463,121.2597272,3,,,,POINT (121.2597272 14.1605463)
14.1843871,121.242376,4,,,,POINT (121.242376 14.1843871)
14.1851929,121.2440933,3,,,,POINT (121.2440933 14.1851929)
14.1748616,121.262828,3,,,,POINT (121.262828 14.1748616)
14.1642198,121.2102974,3,,,,POINT (121.2102974 14.1642198)
14.1708735,121.2463389,4,,,,POINT (121.2463389 14.1708735)
14.1689667,121.2443054,3,,,,POINT (121.2443054 14.1689667)
14.165093,121.2606539,3,,,,POINT (121.2606539 14.165093)
14.1552021,121.2462199,3,,,,POINT (121.2462199 14.1552021)
14.1747473,121.2639696,3,,,,POINT (121.2639696 14.1747473)
14.1785672,121.2421723,4,crossing,,,POINT (121.2421723 14.1785672)
14.1660367,121.2385623,3,,,,POINT (121.2385623 14.1660367)
14.1671864,121.2431094,3,,,,POINT (121.2431094 14.1671864)
14.1642024,121.2384571,3,,,,POINT (121.2384571 14.1642024)
14.1690989,121.2110282,3,,,,POINT (121.2110282 14.1690989)
14.1786885,121.2426272,3,,,,POINT (121.2426272 14.1786885)
14.179441,121.2250881,3,,,,POINT (121.2250881 14.179441)
14.1684571,121.258385,4,,,,POINT (121.258385 14.1684571)
14.1503058,121.2538907,3,,,,POINT (121.2538907 14.1503058)
14.1913541,121.234748,3,,,,POINT (121.234748 14.1913541)
14.1727216,121.243261,3,,,,POINT (121.243261 14.1727216)
14.1872765,121.2488214,1,,,,POINT (121.2488214 14.1872765)
14.1560515,121.2457077,4,,,,POINT (121.2457077 14.1560515)
14.1520103,121.25355,3,,,,POINT (121.25355 14.1520103)
14.1698634,121.244076,3,,,,POINT (121.244076 14.1698634)
14.1681936,121.2096331,3,,,,POINT (121.2096331 14.1681936)
14.151772,121.2451138,3,,,,POINT (121.2451138 14.151772)
14.1686854,121.2441348,4,crossing,,,POINT (121.2441348 14.1686854)
14.1852463,121.2389936,3,,,,POINT (121.2389936 14.1852463)
14.1652042,121.2589627,3,,,,POINT (121.2589627 14.1652042)
14.1608082,121.2255834,3,,,,POINT (121.2255834 14.1608082)
14.1713063,121.2598537,4,,,,POINT (121.2598537 14.1713063)
14.185379,121.2445259,3,,,,POINT (121.2445259 14.185379)
14.1677141,121.2591306,4,,,,POINT (121.2591306 14.1677141)
14.1737816,121.2448845,3,,,,POINT (121.2448845 14.1737816)
14.1797355,121.2419247,3,,,,POINT (121.2419247 14.1797355)
14.1705478,121.2112469,3,,,,POINT (121.2112469 14.1705478)
14.1641916,121.2391822,3,,,,POINT (121.2391822 14.1641916)
14.1846501,121.2430264,3,,,,POINT (121.2430264 14.1846501)
14.1531232,121.2169031,3,,,,POINT (121.2169031 14.1531232)
14.1555026,121.2460434,3,,,,POINT (121.2460434 14.1555026)
14.1635608,121.2160917,3,,,,POINT (121.2160917 14.1635608)
14.1697948,121.2613325,4,,,,POINT (121.2613325 14.1697948)
14.1799614,121.2249104,3,,,,POINT (121.2249104 14.1799614)
14.1662265,121.2095636,4,,,,POINT (121.2095636 14.1662265)
14.1530017,121.2539329,3,,,,POINT (121.2539329 14.1530017)
14.1716248,121.2512754,1,,level_crossing,,POINT (121.2512754 14.1716248)
14.1522633,121.2532408,3,,,,POINT (121.2532408 14.1522633)
14.1742063,121.2472838,3,,,,POINT (121.2472838 14.1742063)
14.1628432,121.2163272,3,,,,POINT (121.2163272 14.1628432)
14.1726313,121.2426254,4,,,,POINT (121.2426254 14.1726313)
14.1513132,121.2543548,3,,,,POINT (121.2543548 14.1513132)
14.1726674,121.2432565,3,,,,POINT (121.2432565 14.1726674)
14.1721962,121.2456823,3,,,,POINT (121.2456823 14.1721962)
14.166617,121.2106704,3,,,,POINT (121.2106704 14.166617)
14.175403,121.2441104,3,,,,POINT (121.2441104 14.175403)
14.1956995,121.2415846,3,,,,POINT (121.2415846 14.1956995)
14.1877816,121.2394086,3,,,,POINT (121.2394086 14.1877816)
14.165828,121.2609307,3,,,,POINT (121.2609307 14.165828)
14.1690185,121.2621162,3,,,,POINT (121.2621162 14.1690185)
14.1934702,121.2352885,4,,,,POINT (121.2352885 14.1934702)
14.1687365,121.2109766,3,,,,POINT (121.2109766 14.1687365)
14.1880143,121.2380115,3,,,,POINT (121.2380115 14.1880143)
